N      Time         Average_OB     Max_OB   Min_OB  
691    0.000000     346.00         691      1       
692    0.000000     346.50         692      1       
693    0.000000     347.00         693      1       
694    0.000000     347.50         694      1       
695    0.000000     348.00         695      1       
696    0.000000     348.50         696      1       
697    0.000000     349.00         697      1       
698    0.000000     349.50         698      1       
699    0.000000     350.00         699      1       
700    0.000000     350.50         700      1       
701    0.000000     351.00         701      1       
702    0.000000     351.50         702      1       
703    0.000000     352.00         703      1       
704    0.000000     352.50         704      1       
705    0.000000     353.00         705      1       
706    0.000000     353.50         706      1       
707    0.000000     354.00         707      1       
708    0.000001     354.50         708      1       
709    0.000001     355.00         709      1       
710    0.000001     355.50         710      1       
711    0.000001     356.00         711      1       
712    0.000001     356.50         712      1       
713    0.000001     357.00         713      1       
714    0.000001     357.50         714      1       
715    0.000001     358.00         715      1       
716    0.000001     358.50         716      1       
717    0.000001     359.00         717      1       
718    0.000001     359.50         718      1       
719    0.000001     360.00         719      1       
720    0.000001     360.50         720      1       
721    0.000000     361.00         721      1       
722    0.000000     361.50         722      1       
723    0.000000     362.00         723      1       
724    0.000001     362.50         724      1       
725    0.000000     363.00         725      1       
726    0.000000     363.50         726      1       
727    0.000001     364.00         727      1       
728    0.000000     364.50         728      1       
729    0.000000     365.00         729      1       
730    0.000000     365.50         730      1       
731    0.000000     366.00         731      1       
732    0.000001     366.50         732      1       
733    0.000001     367.00         733      1       
734    0.000001     367.50         734      1       
735    0.000001     368.00         735      1       
736    0.000001     368.50         736      1       
737    0.000001     369.00         737      1       
738    0.000001     369.50         738      1       
739    0.000001     370.00         739      1       
740    0.000001     370.50         740      1       
741    0.000001     371.00         741      1       
742    0.000001     371.50         742      1       
743    0.000001     372.00         743      1       
744    0.000001     372.50         744      1       
745    0.000001     373.00         745      1       
746    0.000001     373.50         746      1       
747    0.000001     374.00         747      1       
748    0.000001     374.50         748      1       
749    0.000001     375.00         749      1       
750    0.000001     375.50         750      1       
751    0.000001     376.00         751      1       
752    0.000001     376.50         752      1       
753    0.000001     377.00         753      1       
754    0.000001     377.50         754      1       
755    0.000001     378.00         755      1       
756    0.000001     378.50         756      1       
757    0.000001     379.00         757      1       
758    0.000001     379.50         758      1       
759    0.000001     380.00         759      1       
760    0.000001     380.50         760      1       
761    0.000001     381.00         761      1       
762    0.000001     381.50         762      1       
763    0.000000     382.00         763      1       
764    0.000000     382.50         764      1       
765    0.000001     383.00         765      1       
766    0.000000     383.50         766      1       
767    0.000001     384.00         767      1       
768    0.000001     384.50         768      1       
769    0.000001     385.00         769      1       
770    0.000001     385.50         770      1       
771    0.000001     386.00         771      1       
772    0.000001     386.50         772      1       
773    0.000001     387.00         773      1       
774    0.000001     387.50         774      1       
775    0.000001     388.00         775      1       
776    0.000001     388.50         776      1       
777    0.000001     389.00         777      1       
778    0.000001     389.50         778      1       
779    0.000001     390.00         779      1       
780    0.000001     390.50         780      1       
781    0.000001     391.00         781      1       
782    0.000001     391.50         782      1       
783    0.000001     392.00         783      1       
784    0.000001     392.50         784      1       
785    0.000001     393.00         785      1       
786    0.000001     393.50         786      1       
787    0.000001     394.00         787      1       
788    0.000001     394.50         788      1       
789    0.000001     395.00         789      1       
790    0.000001     395.50         790      1       
791    0.000001     396.00         791      1       
792    0.000001     396.50         792      1       
793    0.000001     397.00         793      1       
794    0.000001     397.50         794      1       
795    0.000001     398.00         795      1       
796    0.000001     398.50         796      1       
797    0.000001     399.00         797      1       
798    0.000001     399.50         798      1       
799    0.000001     400.00         799      1       
800    0.000001     400.50         800      1       
801    0.000001     401.00         801      1       
802    0.000001     401.50         802      1       
803    0.000001     402.00         803      1       
804    0.000001     402.50         804      1       
